// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-------------------------------------------------
// 1.0 Traduzido [Vianna]
// 1.1 Atualizado - Renovação [Vianna e ItachiSan]
// 1.2 Bases do HP e SP das 3rd [ItachiSan]
//-------------------------------------------------

// Database de valores específicos para cada classe
//
// Estrutura da Database:
// ClasseID,FatorPeso,FatorHP,MultiplicadorHP,BaseHP1,BaseHP2,FatorHP2,FatorSP,BaseSP,Escudo,Soco,Adagas,Espadas(1M),Espadas(2M),Lanças(1M),Lanças(2M),Machados(1M),Machados(2M),Maças(1M),Maças(2M),Cajados(1M),Arcos,Soqueiras,Instrumentos,Chicotes,Livros,Katares,Revólveres,Rifles,Espingardas,MetralhadorasGatling,Lança-Granadas,ShurikensHuuma,Cajados(2M)
//
// Aprendiz
0, 20000,0,500,0,0,0,100,0,100,400,550,570,2000,2000,2000,500,2000,500,550,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// Espadachim
1, 28000,70,500,0,0,0,200,0,50,400,470,470,540,570,650,550,600,500,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mago
2, 22000,30,500,0,0,0,600,0,100,500,500,2000,2000,2000,2000,2000,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,550
// Arqueiro
3, 26000,50,500,0,0,0,200,0,90,400,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Noviço
4, 24000,40,500,0,0,0,500,0,70,400,2000,2000,2000,2000,2000,2000,2000,450,500,600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,600
// Mercador
5, 28000,40,500,0,0,0,300,0,50,400,520,520,2000,2000,2000,480,550,500,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Gatuno
6, 24000,50,500,0,0,0,200,0,60,400,480,500,2000,2000,2000,600,2000,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Cavaleiro
7, 28000,150,500,0,0,0,300,0,50,400,490,450,520,550,600,500,550,450,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Sacerdote
8, 26000,75,500,0,0,0,800,0,50,400,2000,2000,2000,2000,2000,2000,2000,430,480,600,2000,600,2000,2000,440,2000,2000,2000,2000,2000,2000,2000,600
// Bruxo
9, 24000,55,500,0,0,0,900,0,80,500,540,2000,2000,2000,2000,2000,2000,2000,2000,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,530
// Ferreiro
10, 30000,90,500,0,0,0,400,0,50,400,500,500,2000,2000,2000,460,530,480,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Caçador
11, 27000,85,500,0,0,0,400,0,90,400,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mercenário
12, 24000,110,500,0,0,0,400,0,60,400,420,500,2000,2000,2000,510,2000,2000,2000,2000,2000,2000,2000,2000,2000,420,2000,2000,2000,2000,2000,1100,2000
// Cavaleiro (Peco)
13, 28000,150,500,0,0,0,300,0,50,400,490,450,520,550,600,500,550,450,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Templário
14, 28000,110,700,0,0,0,470,0,50,400,480,430,550,530,520,500,550,450,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Monge
15, 26000,90,650,0,0,0,470,0,50,400,2000,2000,2000,2000,2000,2000,2000,430,480,600,2000,400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,580
// Sábio
16, 24000,75,500,0,0,0,700,0,50,450,530,600,2000,2000,2000,2000,2000,2000,2000,550,2000,2000,2000,2000,430,2000,2000,2000,2000,2000,2000,2000,550
// Arruaceiro
17, 24000,85,500,0,0,0,500,0,50,400,450,500,2000,2000,2000,2000,2000,2000,2000,2000,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Alquimista
18, 30000,90,500,0,0,0,400,0,40,400,500,450,2000,2000,2000,450,520,450,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Bardo
19, 27000,75,300,0,0,0,600,0,70,400,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,480,2000,450,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Odalisca
20, 27000,75,300,0,0,0,600,0,70,400,530,2000,2000,2000,2000,2000,2000,2000,2000,2000,480,2000,2000,450,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Templário (Peco)
21, 28000,110,700,0,0,0,470,0,50,400,480,430,550,530,520,500,550,450,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000

// Casamento *
22, 20000,0 ,500 ,0,0,0,100 ,0,90 , 2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000 ,2000
// Super Aprendiz
23, 20000,0,500,0,0,0,100,0,100,400,550,570,2000,2000,2000,500,2000,500,550,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// Justiceiro
24, 28000,88,0,0,0,0,450,0,60,500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,450,550,500,900,1000,2000,2000
// Ninja
25, 26000,80,0,0,0,0,515,0,60,400,430,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,550,2000

// Aprendiz High
4001,20000,0,500,0,0,0,100,0,100,400,550,570,2000,2000,2000,500,2000,500,550,650,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,650
// Espadachim High
4002,28000,70,500,0,0,0,200,0,50,400,470,470,540,570,650,550,600,500,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
